subject;date;session;block;trials_count;session_type;seq_type;set_num;seq_num;pos_1;pos_2;pos_2_cons;pos_2_inc;RSI;distance;trial_stage
friede;02-02;2;8;32;srt;viol;6;3;loc_6;loc_3;;;0.1;223.81529782463255;RSI_2
friede;02-02;2;8;32;srt;viol;6;3;loc_6;loc_3;;;0.1;41313.98497696731;RT_2
friede;18-01;1;1;10;srt;gram;4;3;loc_1;loc_2;;;1.0;5598.883438975239;RSI_1
friede;18-01;1;1;10;srt;gram;4;3;loc_1;loc_2;;;1.0;7118.343817089431;RT_1
friede;18-01;1;1;10;srt;gram;4;3;loc_1;loc_2;;;1.0;10212.747392693056;RSI_2
friede;18-01;1;1;10;srt;gram;4;3;loc_1;loc_2;;;1.0;3705.7236807154254;RT_2
friede;22-12;3;5;19;pdp;inclu;6;3;loc_6;;loc_4;loc_1;0.1;73.75885786542841;RSI_1
friede;22-12;3;5;19;pdp;inclu;6;3;loc_6;;loc_4;loc_1;0.1;875.0927951629685;RT_1
friede;22-12;3;5;19;pdp;inclu;6;3;loc_6;;loc_4;loc_1;0.1;627.1969302085272;RSI_2
friede;22-12;3;5;19;pdp;inclu;6;3;loc_6;;loc_4;loc_1;0.1;5692.240357860235;RT_2
friede;11-12;3;5;20;pdp;inclu;4;1;loc_4;;loc_3;loc_6;1.0;4001.6397817603106;RSI_1
friede;11-12;3;5;20;pdp;inclu;4;1;loc_4;;loc_3;loc_6;1.0;5605.4401919146585;RT_1
friede;11-12;3;5;20;pdp;inclu;4;1;loc_4;;loc_3;loc_6;1.0;6590.714880672131;RSI_2
friede;11-12;3;5;20;pdp;inclu;4;1;loc_4;;loc_3;loc_6;1.0;4223.445466987331;RT_2
friede;29-11;3;5;27;pdp;inclu;3;3;loc_2;;loc_5;loc_1;0.1;89.65588238182953;RSI_1
friede;29-11;3;5;27;pdp;inclu;3;3;loc_2;;loc_5;loc_1;0.1;6604.977688792526;RT_1
friede;29-11;3;5;27;pdp;inclu;3;3;loc_2;;loc_5;loc_1;0.1;138.0077979105209;RSI_2
friede;29-11;3;5;27;pdp;inclu;3;3;loc_2;;loc_5;loc_1;0.1;1136.1413269771588;RT_2
friede;14-12;2;9;57;srt;gram;5;2;loc_3;loc_6;;;1.0;4929.147967749304;RSI_1
friede;14-12;2;9;57;srt;gram;5;2;loc_3;loc_6;;;1.0;1995.1101700732452;RT_1
friede;14-12;2;9;57;srt;gram;5;2;loc_3;loc_6;;;1.0;8281.263758576737;RSI_2
friede;14-12;2;9;57;srt;gram;5;2;loc_3;loc_6;;;1.0;3150.8289965883732;RT_2
friede;12-01;3;5;26;pdp;exclu;3;2;loc_6;;loc_3;loc_5;0.1;105.01234821137945;RSI_1
friede;12-01;3;5;26;pdp;exclu;3;2;loc_6;;loc_3;loc_5;0.1;5570.619810110412;RT_1
friede;12-01;3;5;26;pdp;exclu;3;2;loc_6;;loc_3;loc_5;0.1;182.93946890963022;RSI_2
friede;12-01;3;5;26;pdp;exclu;3;2;loc_6;;loc_3;loc_5;0.1;4806.677896525005;RT_2
friede;12-01;3;5;82;pdp;exclu;3;3;loc_2;;loc_5;loc_3;0.1;4.240225206599816;RSI_1
friede;12-01;3;5;82;pdp;exclu;3;3;loc_2;;loc_5;loc_3;0.1;3459.0756169664173;RT_1
friede;12-01;3;5;82;pdp;exclu;3;3;loc_2;;loc_5;loc_3;0.1;282.84724006553813;RSI_2
friede;12-01;3;5;82;pdp;exclu;3;3;loc_2;;loc_5;loc_3;0.1;42.1157460531213;RT_2
friede;04-02;3;1;59;pdp;gram;6;1;loc_2;loc_1;;;0.1;26.61319005207715;RSI_1
friede;04-02;3;1;59;pdp;gram;6;1;loc_2;loc_1;;;0.1;6325.945877325439;RT_1
friede;04-02;3;1;59;pdp;gram;6;1;loc_2;loc_1;;;0.1;501.6994735813561;RSI_2
friede;04-02;3;1;59;pdp;gram;6;1;loc_2;loc_1;;;0.1;2882.2254461288817;RT_2
friede;18-01;1;1;6;srt;gram;4;1;loc_4;loc_3;;;1.0;5434.541400788326;RSI_1
friede;18-01;1;1;6;srt;gram;4;1;loc_4;loc_3;;;1.0;6872.088909578709;RT_1
friede;18-01;1;1;6;srt;gram;4;1;loc_4;loc_3;;;1.0;8638.10951727666;RSI_2
friede;18-01;1;1;6;srt;gram;4;1;loc_4;loc_3;;;1.0;3213.409420458094;RT_2
friede;28-11;2;7;26;srt;gram;3;3;loc_2;loc_5;;;0.1;185.65281656121277;RSI_1
friede;28-11;2;7;26;srt;gram;3;3;loc_2;loc_5;;;0.1;1711.9646746196156;RT_1
friede;28-11;2;7;26;srt;gram;3;3;loc_2;loc_5;;;0.1;662.7951949696512;RSI_2
friede;28-11;2;7;26;srt;gram;3;3;loc_2;loc_5;;;0.1;1762.209453485776;RT_2
friede;07-12;1;5;64;srt;gram;4;1;loc_4;loc_3;;;1.0;10752.3356509739;RSI_1
friede;07-12;1;5;64;srt;gram;4;1;loc_4;loc_3;;;1.0;7863.873772678058;RT_1
friede;07-12;1;5;64;srt;gram;4;1;loc_4;loc_3;;;1.0;3728.2592400069016;RSI_2
friede;07-12;1;5;64;srt;gram;4;1;loc_4;loc_3;;;1.0;13340.810637184271;RT_2
friede;12-01;3;5;89;pdp;exclu;3;1;loc_4;;loc_1;loc_3;0.1;170.40308307608717;RSI_1
friede;12-01;3;5;89;pdp;exclu;3;1;loc_4;;loc_1;loc_3;0.1;1752.2866566592545;RT_1
friede;12-01;3;5;89;pdp;exclu;3;1;loc_4;;loc_1;loc_3;0.1;302.06430153617015;RSI_2
friede;12-01;3;5;89;pdp;exclu;3;1;loc_4;;loc_1;loc_3;0.1;5125.824892627927;RT_2
friede;02-02;2;9;53;srt;gram;6;3;loc_6;loc_4;;;0.1;34.15458282683577;RSI_1
friede;02-02;2;9;53;srt;gram;6;3;loc_6;loc_4;;;0.1;5430.305746596866;RT_1
friede;02-02;2;9;53;srt;gram;6;3;loc_6;loc_4;;;0.1;278.48285326304654;RSI_2
friede;02-02;2;9;53;srt;gram;6;3;loc_6;loc_4;;;0.1;38842.180655530414;RT_2
friede;24-01;1;4;58;srt;gram;5;2;loc_3;loc_6;;;1.0;3286.7142987980674;RSI_1
friede;24-01;1;4;58;srt;gram;5;2;loc_3;loc_6;;;1.0;5095.122673304989;RT_1
